Review_ID,Product_ID,Customer_ID,Rating,Review_Text
1,P127,C1149,3,"Average, expected better battery life."
2,P103,C0116,5,"Excellent product, highly recommended!"
3,P102,C0238,4,"Good, but shipping was a bit slow to Guelma."
4,P103,C0160,1,"Terrible, do not buy this! Very bad quality."
5,P102,C0088,4,"Good, but shipping was a bit slow to Guelma."
6,P105,C0347,3,"Average, expected better battery life."
7,P123,C0498,4,Nice design but a bit expensive.
8,P117,C0447,1,"Terrible, do not buy this! Very bad quality."
9,P117,C0287,5,"Excellent product, highly recommended!"
10,P134,C0133,1,"Terrible, do not buy this! Very bad quality."
11,P134,C0306,5,Amazing quality for the price. Fast delivery.
12,P103,C0733,3,"Average, expected better battery life."
13,P130,C0105,5,"Excellent product, highly recommended!"
14,P116,C0680,3,"It is okay, nothing special."
15,P113,C0795,4,Nice design but a bit expensive.
16,P120,C1094,4,"Works well, satisfied with the purchase."
17,P109,C0776,3,"Average, expected better battery life."
18,P127,C0547,5,Amazing quality for the price. Fast delivery.
19,P122,C0720,5,Amazing quality for the price. Fast delivery.
20,P135,C0314,1,"Waste of money, totally disappointed."
21,P104,C0276,4,"Works well, satisfied with the purchase."
22,P120,C1009,2,"Not good, stopped working after a week."
23,P125,C0004,2,"Not good, stopped working after a week."
24,P125,C0576,5,Amazing quality for the price. Fast delivery.
25,P132,C0503,3,"Average, expected better battery life."
26,P108,C0604,4,"Works well, satisfied with the purchase."
27,P104,C0779,2,"Not good, stopped working after a week."
28,P114,C0924,3,"It is okay, nothing special."
29,P134,C0434,3,"It is okay, nothing special."
30,P104,C0326,5,Amazing quality for the price. Fast delivery.
31,P118,C0331,2,"Not good, stopped working after a week."
32,P100,C0038,2,"Not good, stopped working after a week."
33,P125,C0386,1,"Terrible, do not buy this! Very bad quality."
34,P135,C0669,5,"Excellent product, highly recommended!"
35,P127,C0332,1,"Terrible, do not buy this! Very bad quality."
36,P104,C1126,2,"Not good, stopped working after a week."
37,P109,C0537,2,"Not good, stopped working after a week."
38,P126,C0633,2,"Not good, stopped working after a week."
39,P123,C0237,5,"Perfect, works exactly as described. Thanks TechStore."
40,P121,C0537,3,"It is okay, nothing special."
41,P100,C0319,4,"Works well, satisfied with the purchase."
42,P118,C1071,4,"Good, but shipping was a bit slow to Guelma."
43,P111,C0921,2,"Not good, stopped working after a week."
44,P125,C1128,4,Nice design but a bit expensive.
45,P108,C0710,1,"Waste of money, totally disappointed."
46,P127,C0195,1,"Terrible, do not buy this! Very bad quality."
47,P103,C0627,4,"Works well, satisfied with the purchase."
48,P122,C0685,4,Nice design but a bit expensive.
