Trans_ID,Date,Store_ID,Product_ID,Customer_ID,Quantity,Total_Revenue
1,2024-07-02 17:15:00,3,P125,C0200,2,9000.0
2,2023-07-01 13:52:00,11,P136,C0883,1,2500.0
3,2025-01-05 18:56:00,7,P106,C0669,1,320000.0
4,2024-08-01 13:27:00,2,P125,C0848,1,4500.0
5,2023-04-30 13:45:00,10,P113,C0963,1,58000.0
6,2024-06-25 19:46:00,11,P136,C0537,1,2500.0
7,2024-02-15 18:40:00,2,P118,C0615,3,10500.0
8,2023-07-30 12:00:00,1,P137,C0596,2,4400.0
9,2023-04-06 13:40:00,6,P125,C0861,1,4500.0
10,2025-09-12 10:59:00,2,P137,C0703,1,2200.0
11,2025-03-27 12:18:00,3,P112,C0554,1,38000.0
12,2024-11-10 17:46:00,9,P115,C0403,1,230000.0
13,2025-09-11 14:24:00,1,P127,C0117,1,9500.0
14,2025-02-05 16:10:00,4,P121,C0885,3,2400.0
15,2024-02-12 16:57:00,7,P109,C1035,1,42000.0
16,2024-07-15 13:12:00,2,P136,C0161,1,2500.0
17,2024-10-19 12:02:00,5,P137,C0494,2,4400.0
18,2023-03-23 20:26:00,2,P132,C0855,1,38000.0
19,2023-04-19 09:22:00,6,P101,C0519,1,260000.0
20,2025-01-04 17:18:00,9,P117,C0593,1,290000.0
21,2024-06-09 14:21:00,1,P119,C1036,1,2800.0
22,2023-01-29 12:19:00,2,P120,C1068,3,4500.0
23,2023-05-28 13:13:00,4,P137,C1051,2,4400.0
24,2025-09-06 13:55:00,1,P120,C1102,1,1500.0
25,2024-07-02 15:56:00,1,P121,C0868,5,4000.0
26,2024-07-02 17:20:00,8,P110,C0088,1,24000.0
27,2025-07-06 11:30:00,1,P118,C1012,2,7000.0
28,2025-01-14 17:17:00,7,P124,C0559,1,48000.0
29,2024-10-29 10:22:00,6,P120,C1179,2,3000.0
30,2023-08-11 15:11:00,3,P137,C0542,5,11000.0
31,2025-10-18 18:44:00,9,P136,C0683,3,7500.0
32,2024-10-19 15:01:00,5,P109,C0228,1,42000.0
33,2025-05-09 15:32:00,1,P135,C0500,1,12000.0
34,2024-04-03 15:24:00,6,P120,C0611,2,3000.0
35,2025-10-11 13:36:00,4,P125,C0273,2,9000.0
36,2025-09-27 15:31:00,1,P133,C0216,1,45000.0
37,2023-06-26 10:01:00,5,P137,C0080,5,11000.0
38,2023-10-04 11:02:00,3,P118,C0785,2,7000.0
39,2025-06-23 19:05:00,3,P133,C0471,1,45000.0
40,2025-03-13 16:24:00,3,P134,C0602,1,28000.0
41,2025-02-22 12:13:00,11,P137,C0530,3,6600.0
42,2024-08-10 09:36:00,10,P115,C1168,1,230000.0
43,2024-01-20 12:30:00,5,P109,C0831,1,42000.0
44,2023-01-08 15:53:00,3,P119,C1154,1,2800.0
45,2024-08-30 12:23:00,6,P119,C0957,2,5600.0
46,2025-11-09 16:31:00,6,P120,C0121,1,1500.0
47,2024-12-21 19:37:00,2,P113,C0383,1,58000.0
48,2024-01-11 14:40:00,6,P125,C0281,1,4500.0
49,2025-01-04 12:34:00,1,P121,C0936,1,800.0
50,2025-01-31 16:26:00,4,P118,C0038,2,7000.0
51,2023-08-21 18:43:00,6,P137,C0571,1,2200.0
52,2025-05-21 13:48:00,3,P126,C0269,1,24000.0
53,2024-01-19 14:09:00,9,P118,C0120,2,7000.0
54,2024-07-03 16:18:00,11,P134,C0261,1,28000.0
55,2023-03-13 09:51:00,8,P104,C0956,1,310000.0
56,2025-02-21 13:59:00,3,P136,C0110,5,12500.0
57,2025-03-08 12:17:00,1,P127,C0185,1,9500.0
58,2024-12-10 18:13:00,8,P137,C0866,2,4400.0
59,2024-06-09 10:40:00,3,P110,C0852,1,24000.0
60,2024-01-11 11:07:00,4,P111,C0296,1,185000.0
61,2025-07-30 17:31:00,2,P133,C1156,1,45000.0
62,2024-02-20 17:45:00,5,P120,C0854,3,4500.0
63,2023-07-05 11:12:00,1,P121,C0327,3,2400.0
64,2025-07-05 17:36:00,1,P133,C0700,1,45000.0
65,2023-04-21 15:03:00,4,P137,C0962,1,2200.0
66,2025-10-10 20:45:00,4,P121,C0624,1,800.0
67,2024-01-11 20:36:00,2,P118,C0367,5,17500.0
68,2023-11-24 12:51:00,1,P113,C0826,1,58000.0
69,2024-11-24 10:28:00,10,P120,C0227,1,1500.0
70,2024-06-11 12:36:00,4,P126,C0746,1,24000.0
71,2023-12-10 11:26:00,10,P118,C0968,1,3500.0
72,2023-02-26 10:00:00,8,P129,C1017,1,68000.0
73,2024-07-19 11:38:00,5,P119,C0181,2,5600.0
74,2025-06-30 13:57:00,5,P104,C0704,1,310000.0
75,2025-06-28 09:48:00,2,P120,C0413,1,1500.0
76,2024-06-08 20:05:00,9,P118,C0051,5,17500.0
77,2025-01-21 09:34:00,3,P137,C0700,2,4400.0
78,2024-04-30 16:26:00,7,P125,C0699,3,13500.0
79,2023-11-06 15:57:00,1,P121,C0238,3,2400.0
80,2024-06-16 20:55:00,1,P137,C0782,1,2200.0
81,2023-03-11 11:00:00,5,P118,C0423,1,3500.0
82,2025-10-25 19:42:00,5,P129,C0400,1,68000.0
83,2024-05-01 16:22:00,2,P121,C0547,1,800.0
84,2023-07-04 20:03:00,2,P119,C1157,2,5600.0
85,2025-08-26 19:51:00,1,P118,C0954,1,3500.0
86,2023-08-25 10:33:00,3,P120,C0557,1,1500.0
87,2023-01-08 18:11:00,12,P112,C0090,1,38000.0
88,2024-06-08 12:22:00,2,P121,C0558,2,1600.0
89,2024-10-20 18:48:00,3,P121,C0390,1,800.0
90,2024-06-25 12:27:00,8,P119,C0551,3,8400.0
91,2025-09-05 14:18:00,12,P118,C0452,2,7000.0
92,2023-08-06 18:45:00,4,P130,C0655,1,130000.0
93,2025-05-15 11:24:00,2,P120,C0355,2,3000.0
94,2024-01-02 15:06:00,7,P113,C0470,1,58000.0
95,2025-07-21 18:35:00,4,P136,C0583,2,5000.0
