date_id,date,year,quarter,month,month_name,day,day_of_week,day_name,week_of_year
20230101,2023-01-01,2023,1,1,January,1,7,Sunday,52
20230102,2023-01-02,2023,1,1,January,2,1,Monday,1
20230103,2023-01-03,2023,1,1,January,3,2,Tuesday,1
20230104,2023-01-04,2023,1,1,January,4,3,Wednesday,1
20230105,2023-01-05,2023,1,1,January,5,4,Thursday,1
20230106,2023-01-06,2023,1,1,January,6,5,Friday,1
20230107,2023-01-07,2023,1,1,January,7,6,Saturday,1
20230108,2023-01-08,2023,1,1,January,8,7,Sunday,1
20230109,2023-01-09,2023,1,1,January,9,1,Monday,2
20230110,2023-01-10,2023,1,1,January,10,2,Tuesday,2
20230111,2023-01-11,2023,1,1,January,11,3,Wednesday,2
20230112,2023-01-12,2023,1,1,January,12,4,Thursday,2
20230113,2023-01-13,2023,1,1,January,13,5,Friday,2
20230114,2023-01-14,2023,1,1,January,14,6,Saturday,2
20230115,2023-01-15,2023,1,1,January,15,7,Sunday,2
20230116,2023-01-16,2023,1,1,January,16,1,Monday,3
20230117,2023-01-17,2023,1,1,January,17,2,Tuesday,3
20230118,2023-01-18,2023,1,1,January,18,3,Wednesday,3
20230119,2023-01-19,2023,1,1,January,19,4,Thursday,3
20230120,2023-01-20,2023,1,1,January,20,5,Friday,3
20230121,2023-01-21,2023,1,1,January,21,6,Saturday,3
20230122,2023-01-22,2023,1,1,January,22,7,Sunday,3
20230123,2023-01-23,2023,1,1,January,23,1,Monday,4
20230124,2023-01-24,2023,1,1,January,24,2,Tuesday,4
20230125,2023-01-25,2023,1,1,January,25,3,Wednesday,4
20230126,2023-01-26,2023,1,1,January,26,4,Thursday,4
20230127,2023-01-27,2023,1,1,January,27,5,Friday,4
20230128,2023-01-28,2023,1,1,January,28,6,Saturday,4
20230129,2023-01-29,2023,1,1,January,29,7,Sunday,4
20230130,2023-01-30,2023,1,1,January,30,1,Monday,5
20230131,2023-01-31,2023,1,1,January,31,2,Tuesday,5
20230201,2023-02-01,2023,1,2,February,1,3,Wednesday,5
