trans_id,date,store_id,product_id,customer_id,quantity,total_revenue,cost,gross_profit,shipping_cost,marketing_cost,net_profit
1,2024-07-02,3,125,200,2,9000.0,6172.0,2828.0,752.0,119.63,1956.37
2,2023-07-01,11,136,883,1,2500.0,1606.0,894.0,376.0,100.84,417.16
3,2025-01-05,7,106,669,1,320000.0,198987.0,121013.0,1005.0,1949.31,118058.69
4,2024-08-01,2,125,848,1,4500.0,3086.0,1414.0,1005.0,44.49,364.51
5,2023-04-30,10,113,963,1,58000.0,37157.0,20843.0,50.0,1319.0,19474.0
6,2024-06-25,11,136,537,1,2500.0,1606.0,894.0,376.0,80.23,437.77
7,2024-02-15,2,118,615,3,10500.0,7419.0,3081.0,150.0,287.7,2643.3
8,2023-07-30,1,137,596,2,4400.0,2844.0,1556.0,100.0,177.47,1278.53
9,2023-04-06,6,125,861,1,4500.0,3086.0,1414.0,50.0,32.05,1331.95
10,2025-09-12,2,137,703,1,2200.0,1422.0,778.0,499.0,69.33,209.67
11,2025-03-27,3,112,554,1,38000.0,25796.0,12204.0,499.0,312.71,11392.29
12,2024-11-10,9,115,403,1,230000.0,161913.0,68087.0,499.0,5917.47,61670.53
13,2025-09-11,1,127,117,1,9500.0,6907.0,2593.0,499.0,89.25,2004.75
14,2025-02-05,4,121,885,3,2400.0,1578.0,822.0,1128.0,48.33,-354.33
15,2024-02-12,7,109,1035,1,42000.0,31127.0,10873.0,50.0,285.41,10537.59
16,2024-07-15,2,136,161,1,2500.0,1606.0,894.0,376.0,72.92,445.08
17,2024-10-19,5,137,494,2,4400.0,2844.0,1556.0,752.0,128.95,675.05
18,2023-03-23,2,132,855,1,38000.0,23961.0,14039.0,376.0,1703.59,11959.41
19,2023-04-19,6,101,519,1,260000.0,167880.0,92120.0,376.0,0.0,91744.0
20,2025-01-04,9,117,593,1,290000.0,209699.0,80301.0,50.0,3427.32,76823.68
21,2024-06-09,1,119,1036,1,2800.0,1695.0,1105.0,50.0,39.52,1015.48
22,2023-01-29,2,120,1068,3,4500.0,3087.0,1413.0,3015.0,68.75,-1670.75
23,2023-05-28,4,137,1051,2,4400.0,2844.0,1556.0,2010.0,202.14,-656.14
24,2025-09-06,1,120,1102,1,1500.0,1029.0,471.0,1005.0,21.9,-555.9
25,2024-07-02,1,121,868,5,4000.0,2630.0,1370.0,5025.0,61.37,-3716.37
26,2024-07-02,8,110,88,1,24000.0,15039.0,8961.0,376.0,190.02,8394.98
27,2025-07-06,1,118,1012,2,7000.0,4946.0,2054.0,752.0,168.23,1133.77
28,2025-01-14,7,124,559,1,48000.0,33033.0,14967.0,376.0,375.47,14215.53
29,2024-10-29,6,120,1179,2,3000.0,2058.0,942.0,752.0,65.32,124.68
30,2023-08-11,3,137,542,5,11000.0,7110.0,3890.0,1880.0,336.0,1674.0
31,2025-10-18,9,136,683,3,7500.0,4818.0,2682.0,3015.0,271.46,-604.46
32,2024-10-19,5,109,228,1,42000.0,31127.0,10873.0,1005.0,174.4,9693.6
33,2025-05-09,1,135,500,1,12000.0,8606.0,3394.0,376.0,436.41,2581.59
